k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm
697,1.3898524622082248e-17,2.797157557069881e-17,3.146738352131634e-17,True,False,stacked_exact,False,13.702869588578558,548.1147835431425,0.07231637749251937,0.04660298170758658,0.0,4.215788697503553,0.0
698,1.4161191201670933e-17,3.469446951953614e-18,1.466656185336895e-17,True,False,stacked_exact,False,13.8138765060825,552.5550602432999,0.07277833923729798,0.046910587065125964,0.0,4.247766581139542,0.0
699,2.927345865710862e-18,3.469446951953614e-18,5.063233078386405e-18,True,False,stacked_exact,False,13.923561425234059,556.9424570093626,0.07323424673289786,0.04721390633002539,0.0,4.2793724496156065,0.0
700,7.238216853352029e-18,2.797157557069881e-17,2.8572302705465016e-17,True,False,stacked_exact,False,14.031899252122434,561.2759700848973,0.07368420973730087,0.04751305774454008,0.0,4.3106170912469866,0.0
701,3.2526065174565133e-19,2.7755575615628914e-17,2.7927432404996087e-17,True,False,stacked_exact,False,14.1388928839698,565.5557153587922,0.0741283479910062,0.0478081703607637,0.0,4.3414954029538135,0.0
702,3.2526065174565133e-19,0.0,3.168877729558752e-18,True,False,stacked_exact,False,14.244558046292346,569.7823218516938,0.07456676881289571,0.04809936288916793,0.0,4.37199747571207,0.0
703,1.609337349087116e-17,3.469446951953614e-18,1.5899422840953245e-17,True,False,stacked_exact,False,14.348905032829157,573.9562013131663,0.07499957589669544,0.048386751201145675,0.0,4.4021174913026515,0.0
704,1.4306539636305373e-17,0.0,1.5040604853242606e-17,True,False,stacked_exact,False,14.451940451518814,578.0776180607526,0.07542684137033932,0.04867041811622149,0.0,4.431852119833535,0.0
705,1.4253857148018713e-17,2.7755575615628914e-17,3.12372074395887e-17,True,False,stacked_exact,False,14.55366295238845,582.1465180955379,0.07584868960121699,0.04895049555759622,0.0,4.461206296583074,0.0
706,1.4081277892886834e-17,0.0,1.409352225489619e-17,True,False,stacked_exact,False,14.654086252746042,586.1634501098417,0.07626516788231337,0.04922703921531573,0.0,4.490171823149898,0.0
