case,batch,phase,n_episodes,reward_no_penalty,training_reward,fallback_penalty,output_rmse,actual_intervention_rate,diagnostic_unsafe_rate,teacher_gap,handoff_gap,executed_gap
LMPC pretrained + gate,handoff_calibrated,handoff,10,-12.584193175520616,-12.589593113933088,0.00539993841247295,0.3804882315868333,0.0005,0.0,0.01678500076981035,0.008798762201606298,0.00015702163411792608
LMPC pretrained + gate,handoff_calibrated,early full,50,-6.340253142537547,-6.9618835316221706,0.6216303890846225,0.23623312196038548,0.0031500000000000005,0.0,,,0.018221069750770924
LMPC pretrained + gate,handoff_calibrated,mid full,170,-4.546193300668878,-5.068129326484836,0.5219360258159588,0.17058785886974126,0.005764705882352942,0.0,,,0.01753362826605277
LMPC pretrained + gate,handoff_calibrated,tail 50,50,-4.195723589584376,-4.552356671862375,0.3566330822779991,0.16201564070974317,0.004025,0.0,,,0.011440144264116889
LMPC pretrained no gate,old_noise,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.0164375,0.19676195993879464,,0.0
LMPC pretrained no gate,old_noise,handoff,5,-11.264098611048814,-11.264098611048814,0.0,0.3941537226920092,0.0,0.0,0.17484065268932747,0.20646713618334286,0.0
LMPC pretrained no gate,old_noise,early full,50,-392.4240878924522,-392.4240878924522,0.0,0.7956883661935152,0.0,0.0083,,,0.0
LMPC pretrained no gate,old_noise,mid full,175,-4.799071915062726,-4.799071915062726,0.0,0.18809108759286808,0.0,0.02203571428571429,,,0.0
LMPC pretrained no gate,old_noise,tail 50,50,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.057074999999999994,,,0.0
LMPC pretrained no gate,low_noise,BC,20,-12.419647663735557,-12.419647663735557,0.0,0.3772560413096878,0.0,0.0,7.433813503900967e-08,,0.0
LMPC pretrained no gate,low_noise,handoff,5,-112.10829160797987,-112.10829160797987,0.0,0.8186547092200925,0.0,0.0017500000000000003,0.3904020455679604,0.5614832911473244,0.0
LMPC pretrained no gate,low_noise,early full,50,-843.0253534081701,-843.0253534081701,0.0,1.6028573316491679,0.0,0.010125,,,0.0
LMPC pretrained no gate,low_noise,mid full,175,-5.448323276704504,-5.448323276704504,0.0,0.19813070932933974,0.0,0.03037857142857143,,,0.0
LMPC pretrained no gate,low_noise,tail 50,50,-4.093965687035875,-4.093965687035875,0.0,0.15966651830619985,0.0,0.07375,,,0.0
LMPC pretrained no gate,critic_reset,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
LMPC pretrained no gate,critic_reset,handoff,5,-23.845467136345555,-23.845467136345555,0.0,0.6124943820490041,0.0,0.00775,0.09452519985633782,0.21241264177369623,0.0
LMPC pretrained no gate,critic_reset,early full,50,-5.708246335259197,-5.708246335259197,0.0,0.22552541792874636,0.0,0.047975000000000004,,,0.0
LMPC pretrained no gate,critic_reset,mid full,175,-4.128310907899259,-4.128310907899259,0.0,0.15990987804429077,0.0,0.06421428571428572,,,0.0
LMPC pretrained no gate,critic_reset,tail 50,50,-3.980275311094847,-3.980275311094847,0.0,0.15513817548741546,0.0,0.11280000000000001,,,0.0
