case_key,case,short_label,execution,run_id,phase,episodes,steps,reward_no_penalty,training_reward,fallback_penalty,output_rmse_mean,eta_rmse,T_rmse,actual_intervention_rate,fallback_rate,diagnostic_unsafe_rate,gate_activity_rate,target_failure_rate,max_executed_action_gap_inf
of_gate,OF-MPC pretrained + gate,OF gate,2,20260619_174130,teacher critic,10,8000,-12.27515838812009,-12.27515838812009,0.0,0.37499786203580265,0.18919506160547525,0.5608006624661301,0.0,0.0,0.0,0.0,0.0,0.0
of_gate,OF-MPC pretrained + gate,OF gate,2,20260619_174130,handoff,10,8000,-10.437045684008575,-11.348402959212299,0.9113572752037219,0.3038407949514496,0.1616612108090518,0.4460203790938474,0.037625,0.02875,0.0,0.037625,0.008875,9.534746085307944
of_gate,OF-MPC pretrained + gate,OF gate,2,20260619_174130,full RL,280,224000,-5.150026630116715,-6.405774915477401,1.2557482853606847,0.189614305033752,0.12482805218721994,0.25440055788028415,0.023419642857142858,0.01772767857142857,0.0,0.023419642857142858,0.005674107142857143,15.09121097286849
of_gate,OF-MPC pretrained + gate,OF gate,2,20260619_174130,last 100 episodes,100,80000,-4.883237068402152,-5.996012421015748,1.112775352613596,0.18230674960539697,0.12277269246015346,0.2418408067506405,0.0143625,0.0083625,0.0,0.0143625,0.006,15.09121097286849
of_nogate,OF-MPC pretrained no gate,OF no gate,1,20260619_131649,teacher critic,10,8000,-12.27515838812009,-12.27515838812009,0.0,0.37499786203580265,0.18919506160547525,0.5608006624661301,0.0,0.0,0.0,0.0,0.0,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,1,20260619_131649,handoff,10,8000,-8.278446455851729,-8.278446455851729,0.0,0.26959834530854776,0.1493776103339275,0.3898190802831679,0.0,0.0,0.023625,0.023625,0.00625,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,1,20260619_131649,full RL,280,224000,-4.288634818767865,-4.288634818767865,0.0,0.1630369462236873,0.11559415339320021,0.2104797390541744,0.0,0.0,0.04420535714285714,0.04420535714285714,0.0075223214285714286,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,1,20260619_131649,last 100 episodes,100,80000,-3.9538448158275417,-3.9538448158275417,0.0,0.15537020564070592,0.11323096217132099,0.19750944911009086,0.0,0.0,0.0131875,0.0131875,0.0068875,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,2,20260619_174127,teacher critic,10,8000,-12.27515838812009,-12.27515838812009,0.0,0.37499786203580265,0.18919506160547525,0.5608006624661301,0.0,0.0,0.0,0.0,0.0,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,2,20260619_174127,handoff,10,8000,-8.278446455851729,-8.278446455851729,0.0,0.26959834530854776,0.1493776103339275,0.3898190802831679,0.0,0.0,0.023625,0.023625,0.00625,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,2,20260619_174127,full RL,280,224000,-4.288634818767865,-4.288634818767865,0.0,0.1630369462236873,0.11559415339320021,0.2104797390541744,0.0,0.0,0.04420535714285714,0.04420535714285714,0.0075223214285714286,0.0
of_nogate,OF-MPC pretrained no gate,OF no gate,2,20260619_174127,last 100 episodes,100,80000,-3.9538448158275417,-3.9538448158275417,0.0,0.15537020564070592,0.11323096217132099,0.19750944911009086,0.0,0.0,0.0131875,0.0131875,0.0068875,0.0
