k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
287,1.389302603484999e-17,6.938893903907228e-18,1.3149635920892142e-17,True,False,stacked_exact,False,1.5611221180290378,62.44488472116142,0.005256887707918522,0.0037135379807224584,0.0,0.5260297598233489,0.0,0.024369501235237522,6.330500598425314,2.1599309854017523,5.204170427930421e-18,True,True,0.0,1.3877787807814457e-17,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,3.469446951953614e-18
288,8.131516293641283e-19,6.938893903907228e-18,9.13567311490869e-18,True,False,stacked_exact,False,1.5268338790726927,61.07335516290773,0.005141541202620061,0.0036309948795891552,0.0,0.514321181969806,0.0,0.02430422680306008,6.296750419151978,2.1492590035317978,0.0,True,True,0.0,8.131516293641283e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,0.0
289,2.710505431213761e-19,0.0,6.7671879544556974e-18,True,False,stacked_exact,False,1.4933482007819299,59.7339280312772,0.005028901121621232,0.0035503823529901973,0.0,0.5028869908777157,0.0,0.024240910386581823,6.2637946440902805,2.138838469586842,3.878959614448864e-18,True,True,0.0,2.710505431213761e-19,0.0,True,0.0,exact_bounded,0.0,0.0,5.204170427930421e-18
290,2.981555974335137e-19,1.3877787807814457e-17,1.4181220066771858e-17,True,False,stacked_exact,False,1.4606436131497407,58.42574452598966,0.004918918516334824,0.0034716676301239733,0.0,0.49172362333202496,0.0,0.024179524542194797,6.231612626876609,2.1286633363203786,1.734723475976807e-18,True,True,0.0,2.981555974335137e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,1.734723475976807e-18
291,2.710505431213761e-20,1.3877787807814457e-17,1.4678299043293795e-17,True,False,stacked_exact,False,1.428707060703512,57.14828242814039,0.0048115449408272296,0.003394820837646643,0.0,0.48081991045077427,0.0,0.02411995181393158,6.200190038834127,2.118728224780059,5.204170427930421e-18,True,True,0.0,2.710505431213761e-20,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,1.0408340855860843e-17
292,4.336808689942018e-19,7.757919228897728e-18,9.735035431344106e-18,True,False,stacked_exact,False,1.3975245343820235,55.90098137528088,0.004706698620918818,0.0033197819109814044,0.0,0.4701647389317619,0.0,0.02406206916551843,6.169512721821766,2.1090277428342126,0.0,True,True,0.0,4.336808689942018e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,6.2546344413855015e-18
293,6.505213034913027e-19,0.0,6.438806873756899e-18,True,False,stacked_exact,False,1.3670723307134085,54.68289322853636,0.0046043623128732445,0.0032465487048807806,0.0,0.45975928043807784,0.0,0.02400590156908552,6.139557034699258,2.099555600834562,3.469446951953614e-18,True,True,0.0,6.505213034913027e-19,0.0,True,0.0,exact_bounded,0.0,0.0,3.878959614448864e-18
294,7.860465750519907e-19,6.938893903907228e-18,7.405179263883839e-18,True,False,stacked_exact,False,1.3373430549609289,53.49372219843709,0.004504408275050284,0.0031750196427847224,0.0,0.4495849205542626,0.0,0.02395123325251545,6.110314205299092,2.0903067970886418,5.204170427930421e-18,True,True,0.0,7.860465750519907e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,6.938893903907228e-18
295,6.776263578034403e-19,7.757919228897728e-18,9.795470153487969e-18,True,False,stacked_exact,False,1.308297191461644,52.33188765846575,0.004406817678301412,0.0031051850514823144,0.0,0.43965825310584,0.0,0.023898280437608353,6.081748932629928,2.0812739888351217,3.878959614448864e-18,True,True,0.0,6.776263578034403e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,4.9065389333867974e-18
296,1.8973538018496328e-19,2.0816681711721685e-17,2.0925476169304077e-17,True,False,stacked_exact,False,1.279927999615003,51.19711998460019,0.004311544214153613,0.003037015723195051,0.0,0.4299628208315319,0.0,0.02384686521311236,6.053851957618402,2.0724524729132,6.2546344413855015e-18,True,True,0.0,1.8973538018496328e-19,2.0816681711721685e-17,True,0.0,exact_bounded,0.0,0.0,1.4304896245381992e-17
297,3.5236570605778894e-19,1.4304896245381992e-17,1.55479089894123e-17,True,False,stacked_exact,False,1.2522235570050624,50.08894228020248,0.004218499795277295,0.0029704431430596333,0.0,0.4204880424387746,0.0,0.02379687178857113,6.026610820128491,2.0638374028691575,4.9065389333867974e-18,True,True,0.0,3.5236570605778894e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,7.757919228897728e-18
298,1.3878211317825933e-17,0.0,7.915970240038825e-18,True,False,stacked_exact,False,1.2251574917749584,49.0062996709983,0.004127633504603485,0.002905428005120046,0.0,0.4112396976536059,0.0,0.023748390079940875,6.000001310400576,2.055423019076432,0.0,True,True,0.0,1.3877787807814457e-17,0.0,True,0.0,exact_bounded,0.0,0.0,0.0
299,1.3877814277568815e-17,0.0,8.923485490408718e-18,True,False,stacked_exact,False,1.1987144907979466,47.94857963191789,0.004038892782494016,0.0028419297098616963,0.0,0.40221273187631923,0.0,0.023701382521153894,5.974008439949073,2.0472046605605905,3.878959614448864e-18,True,True,0.0,1.3877787807814457e-17,0.0,True,0.0,exact_bounded,0.0,0.0,3.469446951953614e-18
300,2.710505431213761e-19,6.938893903907228e-18,7.640768621320141e-18,True,False,stacked_exact,False,1.1728814933624776,46.915259734499024,0.00395222157346747,0.0027799040615020935,0.0,0.3934014102305437,0.0,0.02365580245155782,5.948619230138369,2.039178135738735,5.204170427930421e-18,True,True,0.0,2.710505431213761e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,1.0408340855860843e-17
301,1.111307226797642e-18,1.3877787807814457e-17,1.4562346700745195e-17,True,False,stacked_exact,False,1.1476452204192964,45.905808816771916,0.0038675983877998967,0.0027193393902768116,0.0,0.3848019029251244,0.0,0.02361162699958045,5.923820540423603,2.0313394871003303,3.469446951953614e-18,True,True,0.0,1.111307226797642e-18,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,6.938893903907228e-18
302,1.2739375526704677e-18,2.0816681711721685e-17,2.1142393038357682e-17,True,False,stacked_exact,False,1.1230028147317632,44.92011258927057,0.0037849715973408108,0.0026601998387501824,0.0,0.3763999990818002,0.0,0.023568696028962846,5.899607692144089,2.023685580329108,4.9065389333867974e-18,True,True,0.0,1.2739375526704677e-18,2.0816681711721685e-17,True,0.0,exact_bounded,0.0,0.0,3.469446951953614e-18
303,5.149960319306146e-19,0.0,3.8427111153087195e-18,True,False,stacked_exact,False,1.0989413467708493,43.95765387083395,0.0037042950338130793,0.0026024536650604848,0.0,0.3681917800316216,0.0,0.02352697444926076,5.875968009076295,2.016212450835629,5.204170427930421e-18,True,True,0.0,5.149960319306146e-19,0.0,True,0.0,exact_bounded,0.0,0.0,8.673617379884035e-18
304,2.710505431213761e-19,1.3877787807814457e-17,1.4297939527170117e-17,True,False,stacked_exact,False,1.075447550713995,43.01790202855979,0.003625530421290386,0.0025460765091669204,0.0,0.36017353464052804,0.0,0.02348643064440477,5.852887907345485,2.008915898188358,3.469446951953614e-18,True,True,0.0,2.710505431213761e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,1.0408340855860843e-17
305,4.0657581468206416e-19,1.3877787807814457e-17,1.3899458312892053e-17,True,False,stacked_exact,False,1.052508899232801,42.100355969312005,0.0035485996396749935,0.0024910063009198785,0.0,0.35233903697317787,0.0,0.023446999890430694,5.830355134631527,2.0017917094662003,5.204170427930421e-18,True,True,0.0,4.0657581468206416e-19,1.3877787807814457e-17,True,0.0,exact_bounded,0.0,0.0,9.341771812940338e-18
306,1.0028870095490916e-18,7.757919228897728e-18,7.982201393248912e-18,True,False,stacked_exact,False,1.030101387573129,41.20405550292509,0.0034734817293919896,0.002437230038202367,0.0,0.3446951967365478,0.0,0.023408793774980986,5.808347599832225,1.9948348575838186,4.9065389333867974e-18,True,True,0.0,1.0028870095490916e-18,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,4.9065389333867974e-18
307,1.3886361368074976e-17,6.938893903907228e-18,1.1709176272262193e-17,True,False,stacked_exact,False,1.0082182536414996,40.32873014566005,0.0034001245567235176,0.002384708727348255,0.0,0.3372307668338941,0.0,0.023371690137969706,5.786857551571706,1.9880417451158994,0.0,True,True,0.0,1.3877787807814457e-17,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,5.204170427930421e-18
308,7.047314121155779e-19,2.110382192020081e-17,2.2031019163453934e-17,True,False,stacked_exact,False,0.9868457078607652,39.473828314430676,0.0033284923033566763,0.0023334171537671288,0.0,0.32994336276595393,0.0,0.023335679483665345,5.765871545011957,1.981408431544028,6.2546344413855015e-18,True,True,0.0,7.047314121155779e-19,2.0816681711721685e-17,True,0.0,exact_bounded,0.0,0.0,1.4304896245381992e-17
309,8.131516293641283e-20,6.938893903907228e-18,9.341319766775838e-18,True,False,stacked_exact,False,0.9659735636232277,38.63894254492916,0.0032585366163527638,0.002283318772363097,0.0,0.3228270338258314,0.0,0.023300705047134062,5.745379385476578,1.9749313705417415,1.734723475976807e-18,True,True,0.0,8.131516293641283e-20,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,0.0
310,4.336808689942018e-19,6.938893903907228e-18,9.722106009002196e-18,True,False,stacked_exact,False,0.9455884365284712,37.82353746113891,0.0031902349574116037,0.002234400543882695,0.0,0.3158800980665053,0.0,0.023266766563626966,5.725368175391087,1.9686068755155237,3.469446951953614e-18,True,True,0.0,4.336808689942018e-19,6.938893903907228e-18,True,0.0,exact_bounded,0.0,0.0,1.0408340855860843e-17
311,1.3878026033786178e-17,0.0,2.0900845659489402e-17,True,False,stacked_exact,False,0.925684614866936,37.02738459467738,0.0031235611572737665,0.0021866489820822383,0.0,0.309093144891421,0.0,0.02323375893903066,5.705831069010216,1.9624318169917419,3.469446951953614e-18,True,True,0.0,1.3877787807814457e-17,0.0,True,0.0,exact_bounded,0.0,0.0,1.734723475976807e-18
