k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
10,8.326672684688674e-17,4.440892098500626e-16,5.167055205516741e-16,True,False,stacked_exact,False,783.8284688844211,31353.138755376847,2.078660497926173,0.5670059752050935,4.440892098500626e-16,165.38454574188373,0.0,3.106445820464681,784.927883250719,245.35320619266426,4.440892098500626e-16,True,False,700.7041180501174,8.326672684688674e-17,4.440892098500626e-16,True,2.949062741243972,exact_unbounded_fallback_bounded_ls,700.7041180501174,167.5120782213565,2.949062741243972
11,3.2959746043559335e-16,0.0,7.43569287157092e-16,True,False,stacked_exact,False,761.4263966380636,30457.05586552254,1.9997610031346942,0.6061653924697836,0.0,154.70202570014132,0.0,3.1296932079787396,762.5835383311819,237.20681550074113,4.440892098500626e-16,True,False,683.9939216685711,3.2959746043559335e-16,0.0,True,2.9613518585461187,exact_unbounded_fallback_bounded_ls,683.9939216685711,163.51729689889308,2.9613518585461187
12,1.5265566588595902e-16,1.7763568394002505e-15,1.868776216144807e-15,True,False,stacked_exact,False,737.7143874709448,29508.575498837785,1.9303899959920992,0.6538322323450855,1.7763568394002505e-15,144.84203363905468,0.0,3.141571535781543,738.9251748608914,228.7947806129319,4.440892098500626e-16,True,False,665.6239318168585,1.5265566588595902e-16,1.7763568394002505e-15,True,2.9639456470541456,exact_unbounded_fallback_bounded_ls,665.6239318168693,159.12572119997063,2.9639456470541456
13,2.0816681711721685e-17,8.881784197001252e-16,9.027098272793249e-16,True,False,stacked_exact,False,713.3169953958312,28532.679815833253,1.87189602308196,0.7070439395347854,8.881784197001252e-16,135.97170102277207,0.0,3.1422315858366323,714.5780877539211,220.3100986469368,4.440892098500626e-16,True,False,646.177157213172,2.0816681711721685e-17,8.881784197001252e-16,True,2.9567630128254927,exact_unbounded_fallback_bounded_ls,646.177157213172,154.47672664627422,2.9567630128254927
14,4.673848563465896e-16,1.3322676295501878e-15,1.4133810813800192e-15,True,False,stacked_exact,False,688.7670342157062,27550.681368628248,1.8249571214932183,0.7632424923578961,1.3322676295501878e-15,128.2063673978467,0.0,3.1320533684869347,690.0758121441758,211.91508299008106,8.881784197001252e-16,True,False,626.1584901538785,4.440892098500626e-16,1.3322676295501878e-15,True,2.9399906240491456,exact_unbounded_fallback_bounded_ls,626.158490153879,149.69101405241196,2.9399906240491456
15,4.440892098500626e-16,0.0,5.469330011984156e-16,True,False,stacked_exact,False,664.5075725018771,26580.302900075087,1.7895739974744123,0.8203666732746463,0.0,121.60722725361855,0.0,3.1116049952821263,665.8620288634769,203.74209389271434,4.965068306494546e-16,True,False,605.9959851896559,4.440892098500626e-16,0.0,True,2.91403467020485,exact_unbounded_fallback_bounded_ls,605.9959851896559,144.8709152094024,2.91403467020485
16,1.457167719820518e-16,8.881784197001252e-16,9.15249056869712e-16,True,False,stacked_exact,False,640.8962116175583,25635.848464702325,1.7651268305124006,0.8768154099563784,8.881784197001252e-16,116.1836021539219,0.0,3.0815994375012044,642.2950121985795,195.89528625300287,0.0,True,False,586.0437590630683,1.457167719820518e-16,8.881784197001252e-16,True,2.879472835491482,exact_unbounded_fallback_bounded_ls,586.0437590630696,140.10108615101535,2.879472835491482
17,8.984259995986552e-16,4.965068306494546e-16,1.3682505158634447e-15,True,False,stacked_exact,False,618.2107155511299,24728.42862204519,1.7504928754107296,0.9313733693076451,4.440892098500626e-16,111.89964315272937,0.0,3.0428400837332163,619.6531842923713,188.45285882552628,4.965068306494546e-16,True,False,566.5854614653699,8.881784197001252e-16,4.440892098500626e-16,True,2.8369966772939246,exact_unbounded_fallback_bounded_ls,566.5854614653699,135.44933688156524,2.8369966772939246
18,3.469446951953614e-18,9.155133597044475e-16,9.204477525466901e-16,True,False,stacked_exact,False,596.6568633258972,23866.274533035885,1.744201799642753,0.9831348190382051,8.881784197001252e-16,108.68306893429691,0.0,2.9961973452618667,598.1429837466131,181.46985180815744,4.440892098500626e-16,True,False,547.8403897525709,3.469446951953614e-18,8.881784197001252e-16,True,2.787384451251816,exact_unbounded_fallback_bounded_ls,547.840389752577,130.96809317522568,2.787384451251816
19,5.898059818321144e-17,1.3506446028928519e-15,1.3557922509224784e-15,True,False,stacked_exact,False,576.37711626074,23055.084650429602,1.7446016532474025,1.0314397572806395,1.3322676295501878e-15,106.43614379496721,0.0,2.942587301666816,577.90739333254,174.98115157652114,9.155133597044475e-16,True,False,529.9702345568511,5.898059818321144e-17,1.3322676295501878e-15,True,2.731476820762986,exact_unbounded_fallback_bounded_ls,529.9702345568511,126.69600919874746,2.731476820762986
20,4.613190423717512e-16,4.440892098500626e-16,7.234849632271987e-16,True,False,stacked_exact,False,557.4594314017152,22298.377256068605,1.7500077081883307,1.0758217188588988,4.440892098500626e-16,105.04690402276228,0.0,2.882956450377675,559.0348413349269,169.00455457459518,4.440892098500626e-16,True,False,513.0863703114215,4.440892098500626e-16,4.440892098500626e-16,True,2.6701590651197535,exact_unbounded_fallback_bounded_ls,513.0863703114215,122.65971040257445,2.6701590651197535
21,4.467376080957673e-16,4.440892098500626e-16,7.467831310981696e-16,True,False,stacked_exact,False,539.9455266292572,21597.821065170283,1.758820615970877,1.1159692722073757,4.440892098500626e-16,104.3996421960711,0.0,2.8182541233244227,541.5673431202632,163.54362649178233,4.440892098500626e-16,True,False,497.25640221927233,4.440892098500626e-16,4.440892098500626e-16,True,2.6043318921236924,exact_unbounded_fallback_bounded_ls,497.2564022192923,118.87535865554979,2.6043318921236924
22,4.684781256633846e-16,9.155133597044475e-16,1.0669863788715217e-15,True,False,stacked_exact,False,523.8393026953034,20953.572107812135,1.769603932690075,1.1516943138601117,8.881784197001252e-16,104.38199100965143,0.0,2.7494248945556157,525.5089322998866,158.59047530743086,4.440892098500626e-16,True,False,482.51151100862535,4.440892098500626e-16,8.881784197001252e-16,True,2.534901772987618,exact_unbounded_fallback_bounded_ls,482.5115110086256,115.35040810049976,2.5349017729876184
23,3.122502256758253e-17,0.0,1.840332013649078e-16,True,False,stacked_exact,False,509.11381837148014,20364.552734859204,1.7811253943611578,1.182906425943267,0.0,104.88975761212242,0.0,2.6773873450044143,510.8328257675848,154.12815620280793,0.0,True,False,468.852591780509,3.122502256758253e-17,0.0,True,2.4627584334084758,exact_unbounded_fallback_bounded_ls,468.85259178050916,112.08507272252817,2.4627584334084758
