k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm,analysis_target_variant,analysis_x_label,analysis_u_label,analysis_y_label,analysis_d_label,analysis_u_applied_minus_u_s_norm,analysis_u_applied_minus_u_s_phys_norm,analysis_y_current_minus_y_s_norm,analysis_y_current_minus_y_s_phys_norm,analysis_y_s_minus_y_sp_norm,analysis_xhat_minus_x_s_norm,analysis_dhat_minus_d_s_norm,analysis_u_s_dev_norm,analysis_x_s_norm,analysis_reduced_rhs_residual_norm
20,7.632783294297951e-17,0.0,4.082026411402859e-16,True,False,stacked_exact,False,603.0396982571444,24121.58793028578,1.6590799672272647,0.8408225895698177,0.0,115.66210733579348,0.0,2.81517549835517,604.8252842628046,185.15662839508283,4.440892098500626e-16,True,False,549.2692028774331,7.632783294297951e-17,0.0,True,2.772301748398341,exact_unbounded_fallback_bounded_ls,555.7498253586404,132.85894262480022,2.772301748398341,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.585647224270722,183.42588897082888,1.6590799672272647,0.8408225895698177,0.0,115.66210733579348,0.0,3.5174962255549618,185.15662839508283,2.772301748398341
21,5.551115123125783e-17,4.440892098500626e-16,5.151092039524179e-16,True,False,stacked_exact,False,582.0078268442732,23280.31307377093,1.6426845677999464,0.8864645461424994,4.440892098500626e-16,111.83287883123693,0.0,2.7742978256852693,583.835821988599,178.27616581027095,4.440892098500626e-16,True,False,531.1869698420114,5.551115123125783e-17,4.440892098500626e-16,True,2.7304398887923407,exact_unbounded_fallback_bounded_ls,537.6242182124564,128.5257896664156,2.7304398887923407,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.59492411469899,183.79696458795956,1.6426845677999464,0.8864645461424994,4.440892098500626e-16,111.83287883123693,0.0,3.5597918098329875,178.27616581027095,2.7304398887923407
22,4.632458786145298e-16,4.440892098500626e-16,7.432038229383091e-16,True,False,stacked_exact,False,561.9884038886572,22479.536155546284,1.6333109022979946,0.9295688885624844,4.440892098500626e-16,108.86364965334143,0.0,2.7275214532350036,563.8584235010933,171.8001478802095,9.155133597044475e-16,True,False,513.7598704153289,4.440892098500626e-16,4.440892098500626e-16,True,2.6831280253422736,exact_unbounded_fallback_bounded_ls,520.1663205880127,124.352261015572,2.6831280253422736,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.5775303578341635,183.1012143133665,1.6333109022979946,0.9295688885624844,4.440892098500626e-16,108.86364965334143,0.0,3.5875090561349436,171.8001478802095,2.6831280253422736
23,7.632783294297951e-17,4.440892098500626e-16,5.14652801883992e-16,True,False,stacked_exact,False,543.091871761826,21723.674870473038,1.6296111012522818,0.9696313293412789,4.440892098500626e-16,106.67380511568822,0.0,2.6755248754578482,545.003990504005,165.755724531619,0.0,True,False,497.11313253232146,7.632783294297951e-17,4.440892098500626e-16,True,2.6310128406202837,exact_unbounded_fallback_bounded_ls,503.49996321653515,120.36795995645315,2.6310128406202837,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.536226770520269,181.4490708208108,1.6296111012522818,0.9696313293412789,4.440892098500626e-16,106.67380511568822,0.0,3.60248571489938,165.755724531619,2.6310128406202837
24,3.469446951953614e-17,9.155133597044475e-16,9.497116002295756e-16,True,False,stacked_exact,False,525.3879015612275,21015.5160624491,1.6302143220072516,1.0062924979255934,8.881784197001252e-16,105.17367288884246,0.0,2.6190264521209827,527.3425251984067,160.1570715698427,4.440892098500626e-16,True,False,481.3347614759789,3.469446951953614e-17,8.881784197001252e-16,True,2.5747755177971703,exact_unbounded_fallback_bounded_ls,487.7117991478806,116.59360198379042,2.5747755177971703,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.473780098251743,178.9512039300697,1.6302143220072516,1.0062924979255934,8.881784197001252e-16,105.17367288884246,0.0,3.606604483207247,160.1570715698427,2.5747755177971703
25,9.954350588497638e-16,0.0,1.0521960765091362e-15,True,False,stacked_exact,False,508.9106325355451,20356.425301421805,1.6338143285655728,1.0393108902886572,0.0,104.27159552033157,0.0,2.5587631532051636,510.9085318262364,155.00731772808854,4.440892098500626e-16,True,False,466.4797841323401,8.881784197001252e-16,0.0,True,2.5151128463224843,exact_unbounded_fallback_bounded_ls,472.8555955009381,113.0420407994432,2.5151128463224843,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.392875002568163,175.71500010272646,1.6338143285655728,1.0393108902886572,0.0,104.27159552033157,0.0,3.6017072133282757,155.00731772808854,2.5151128463224843
26,3.8163916471489756e-17,1.3506446028928519e-15,1.4069693393445522e-15,True,False,stacked_exact,False,493.6642770349855,19746.57108139942,1.6392319586419464,1.06854340415106,1.3322676295501878e-15,103.87923925419383,0.0,2.4954699351594747,495.70638697536333,150.30042086881207,8.881784197001252e-16,True,False,452.5746096379927,3.8163916471489756e-17,1.3322676295501878e-15,True,2.452717980877778,exact_unbounded_fallback_bounded_ls,458.95646433760305,109.71927975570843,2.452717980877778,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.296124367574448,171.8449747029779,1.6392319586419464,1.06854340415106,1.3322676295501878e-15,103.87923925419383,0.0,3.589683945674995,150.30042086881207,2.452717980877778
27,3.8163916471489756e-17,4.965068306494546e-16,5.634078930013809e-16,True,False,stacked_exact,False,479.62898944580763,19185.159577832303,1.6454479107180862,1.0939261754882317,4.440892098500626e-16,103.9139740012904,0.0,2.429881842805118,481.71635782468405,146.02306874019627,4.440892098500626e-16,True,False,439.62250576001975,3.8163916471489756e-17,4.440892098500626e-16,True,2.388283542145406,exact_unbounded_fallback_bounded_ls,446.01653160626944,106.62582708712398,2.388283542145406,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.1860343815465715,167.44137526186287,1.6454479107180862,1.0939261754882317,4.440892098500626e-16,103.9139740012904,0.0,3.5722717677986893,146.02306874019627,2.388283542145406
28,4.5102810375396984e-17,0.0,2.6181131845306015e-16,True,False,stacked_exact,False,466.76532467196165,18670.612986878463,1.65161715548134,1.1154612722631394,0.0,104.30090055354513,0.0,2.3627085281624356,468.89900335391195,142.15621134949205,3.1401849173675503e-16,True,False,427.6072279847299,4.5102810375396984e-17,0.0,True,2.3224774690074836,exact_unbounded_fallback_bounded_ls,434.0184601240033,103.75753812339472,2.3224774690074836,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,4.0649542932024,162.59817172809605,1.65161715548134,1.1154612722631394,0.0,104.30090055354513,0.0,3.551126544783483,142.15621134949205,2.3224774690074836
29,0.0,1.3322676295501878e-15,1.4077268875361317e-15,True,False,stacked_exact,False,455.0189036344659,18200.756145378637,1.6570659331494746,1.1332039843370076,1.3322676295501878e-15,104.97263989704122,0.0,2.2946308684274523,457.19988874386536,138.67652334066727,2.220446049250313e-16,True,False,416.49741925938207,0.0,1.3322676295501878e-15,True,2.255939790633478,exact_unbounded_fallback_bounded_ls,422.9298955936301,101.10667816535239,2.255939790633478,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,3.935110110136355,157.4044044054542,1.6570659331494746,1.1332039843370076,1.3322676295501878e-15,104.97263989704122,0.0,3.52776199788143,138.67652334066727,2.255939790633478
30,6.418476861114186e-17,2.220446049250313e-16,3.4320733898794584e-16,True,False,stacked_exact,False,444.3240993247054,17772.963972988215,1.6612802974694747,1.1472534093277535,0.0,105.86897893858925,0.0,2.226286936035371,446.55328466653026,135.557596086729,2.220446049250313e-16,True,False,406.2499548026347,6.418476861114186e-17,2.220446049250313e-16,True,2.1892696998692625,exact_unbounded_fallback_bounded_ls,412.70679358404306,98.66271784118547,2.1892696998692625,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,3.7985647951609165,151.94259180643667,1.6612802974694747,1.1472534093277535,0.0,105.86897893858925,0.0,3.5035472934505876,135.557596086729,2.1892696998692625
31,1.0408340855860843e-17,0.0,1.7155921299264816e-16,True,False,stacked_exact,False,434.6075920409859,17384.303681639434,1.6638889109893855,1.1577444724811443,0.0,106.9357418007349,0.0,2.158269455537249,436.88574866141784,132.77101128189912,0.0,True,False,396.81340969227557,1.0408340855860843e-17,0.0,True,2.1230231572492224,exact_unbounded_fallback_bounded_ls,403.2968820473182,96.41316086443719,2.1230231572492224,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,3.6572191520893838,146.2887660835753,1.6638889109893855,1.1577444724811443,0.0,106.9357418007349,0.0,3.4797002186170465,132.77101128189912,2.1230231572492224
