case,batch,window,block,n_steps,reward_mean,reward_no_penalty_mean,output0_rmse,output1_rmse,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate
Direct LMPC baseline,governed_reference,tail 50,S1 high,20000,-11.030015610552926,-11.030015610552926,0.1792585936168252,0.5265036983477613,0.35288114598229325,0.0,0.0
Direct LMPC baseline,governed_reference,tail 50,S2 low,20000,-13.381281966541396,-13.381281966541396,0.19929660834812393,0.5732246051074061,0.386260606727765,0.0,0.0
OF-MPC baseline,bounded_mixed,all episodes,S1 high,120000,-11.384761837942978,-11.384761837942978,0.18138009396335183,0.5412866001570341,0.361333347060193,0.0,0.0
OF-MPC baseline,bounded_mixed,all episodes,S2 low,120000,-13.576124413898174,-13.576124413898174,0.19956116286878234,0.5880400162777535,0.3938005895732679,0.0,0.0
OF-MPC baseline,bounded_mixed,tail 50,S1 high,20000,-11.035164204872496,-11.035164204872496,0.17930513216982213,0.5265806840442668,0.3529429081070445,0.0,0.0
OF-MPC baseline,bounded_mixed,tail 50,S2 low,20000,-13.319024598448374,-13.319024598448374,0.19844325234661087,0.5756770500963083,0.3870601512214596,0.0,0.0
OF-MPC baseline,governed_reference,all episodes,S1 high,120000,-11.384761837942978,-11.384761837942978,0.18138009396335183,0.5412866001570341,0.361333347060193,0.0,0.0
OF-MPC baseline,governed_reference,all episodes,S2 low,120000,-13.576124413898174,-13.576124413898174,0.19956116286878234,0.5880400162777535,0.3938005895732679,0.0,0.0036666666666666666
OF-MPC baseline,governed_reference,tail 50,S1 high,20000,-11.035164204872496,-11.035164204872496,0.17930513216982213,0.5265806840442668,0.3529429081070445,0.0,0.0
OF-MPC baseline,governed_reference,tail 50,S2 low,20000,-13.319024598448374,-13.319024598448374,0.19844325234661087,0.5756770500963083,0.3870601512214596,0.0,0.005
