Qc,Qm,Etha,T
471.6,338.0,3.801461513350942,323.21271089727236
471.6,338.0,3.7927154053552368,323.18392558958914
471.6,338.0,3.784660776276928,323.15719248843754
471.6,338.0,3.777306976076073,323.1324137997033
471.6,338.0,3.7706451424273206,323.1094811377366
471.6,338.0,3.7646532680348006,323.088280842956
471.6,338.0,3.7593001578220457,323.06869790489264
471.6,338.0,3.7545485148203253,323.0506187920402
471.6,338.0,3.7503573357626507,323.0339334330001
471.6,338.0,3.7466837561042428,323.01853654552724
471.6,338.0,3.7434844541429473,323.00432847027935
471.6,338.0,3.7407167015802334,322.99121563333654
471.6,338.0,3.738339130891089,322.979110734894
471.6,338.0,3.736312276684108,322.96793273998145
471.6,338.0,3.7345989377746744,322.9576067297831
471.6,338.0,3.733164398251409,322.94806365837036
471.6,338.0,3.73197653890393,322.9392400487736
471.6,338.0,3.731005864662872,322.9310776537654
471.6,338.0,3.7302254689438517,322.92352310005157
471.6,338.0,3.729610951812548,322.91652752939297
471.6,338.0,3.7291403055677015,322.910046246202
471.6,338.0,3.7287937785699583,322.9040383781247
471.6,338.0,3.7285537258440065,322.89846655382985
471.6,338.0,3.7284044530795626,322.89329660051527
471.6,338.0,3.728332059094388,322.88849726238686
471.6,338.0,3.7283242805481254,322.8840399404541
471.6,338.0,3.728370341665033,322.8798984533456
471.6,338.0,3.728460810897675,322.87604881840895
471.6,338.0,3.7285874658087415,322.8724690520739
471.6,338.0,3.7287431669352933,322.8691389882858
471.6,338.0,3.7289217410037514,322.86604011372896
471.6,338.0,3.7291178735636223,322.86315541853116
471.6,338.0,3.729327010885035,322.8604692611574
471.6,338.0,3.729545270804489,322.8579672462429
471.6,338.0,3.7297693620920276,322.85563611418127
471.6,338.0,3.7299965118407554,322.8534636413564
471.6,338.0,3.7302244003375513,322.85143854998853
471.6,338.0,3.730451102854926,322.8495504266462
471.6,338.0,3.7306750378023863,322.8477896485594
471.6,338.0,3.730894920686912,322.8461473169457
471.6,338.0,3.7311097233523114,322.8446151966371
471.6,338.0,3.7313186379944234,322.8431856613659
471.6,338.0,3.73152104547807,322.8418516441304
471.6,338.0,3.7317164875158575,322.840606592123
471.6,338.0,3.7319046423016076,322.8394444257559
471.6,338.0,3.7320853032247694,322.8383595013693
471.6,338.0,3.732258360324723,322.837346577251
471.6,338.0,3.7324237841751766,322.83640078263613
471.6,338.0,3.732581611918478,322.8355175893914
471.6,338.0,3.7327319351973802,322.83469278612034
471.6,338.0,3.7328748897576487,322.8339224544539
471.6,338.0,3.7330106465186557,322.8332029473162
471.6,338.0,3.7331394039309465,322.83253086897815
471.6,338.0,3.7332613814596463,322.8319030567313
471.6,338.0,3.733376814050641,322.83131656403145
471.6,338.0,3.7334859474527824,322.83076864497855
471.6,338.0,3.733589034284087,322.8302567400118
471.6,338.0,3.7336863307430836,322.8297784627127
471.6,338.0,3.733778093878292,322.82933158761875
471.6,338.0,3.7338645793393397,322.82891403896076
471.6,338.0,3.7339460395426713,322.82852388024475
471.6,338.0,3.734022722193081,322.8281593046084
471.6,338.0,3.734094869109747,322.8278186258869
471.6,338.0,3.7341627153120034,322.8275002703316
471.6,338.0,3.7342264883258105,322.82720276892735
471.6,338.0,3.734286407677063,322.82692475026244
471.6,338.0,3.7343426845422965,322.8266649339064
471.6,338.0,3.7343955215313476,322.8264221242574
471.6,338.0,3.7344451125799445,322.8261952048224
471.6,338.0,3.7344916429332793,322.8259831328974
471.6,338.0,3.734535289204222,322.8257849346181
471.6,338.0,3.734576219492186,322.825599700353
471.6,338.0,3.7346145935506545,322.8254265804139
471.6,338.0,3.7346505629931586,322.8252647810607
471.6,338.0,3.7346842715289883,322.8251135607792
471.6,338.0,3.7347158552212893,322.82497222681184
471.6,338.0,3.734745442761324,322.82484013192413
471.6,338.0,3.734773155753657,322.8247166713894
471.6,338.0,3.7347991090079256,322.824601280177
471.6,338.0,3.7348234108335436,322.8244934303291
471.6,338.0,3.734846163334371,322.82439262851403
471.6,338.0,3.7348674627008833,322.8242984137426
471.6,338.0,3.7348873994978926,322.8242103552373
471.6,338.0,3.734906058946208,322.8241280504433
471.6,338.0,3.734923521197029,322.8240511231717
