episode,step_start,step_stop_exclusive,n_steps,reward_mean,reward_sum,reward_no_penalty_mean,reward_no_penalty_sum,fallback_penalty_mean,fallback_penalty_sum,diagnostic_unsafe_count,diagnostic_unsafe_rate,diagnostic_unstable_count,diagnostic_unstable_rate,actual_intervention_count,actual_intervention_rate,accepted_candidate_count,fallback_count,fallback_verified_count,fallback_unverified_count,target_fail_hold_prev_count,solver_fail_hold_prev_count,target_failure_count,min_contraction_margin,max_executed_action_gap_inf,output_rmse_mean,output_max_abs_error,output0_rmse,output1_rmse,output0_max_abs_error,output1_max_abs_error,case,family,gate,phase
12,8800,9600,800,-21.599319286402825,-17279.45542912226,-21.536762108351613,-17229.40968668129,0.0625571780512067,50.04574244096538,0,0.0,0,0.0,5,0.00625,795,3,3,0,0,0,0,-19.443845471670045,0.0806343890696377,0.5634816771713625,4.039238009371729,0.2258445038920272,0.901118850450698,1.0802424800652304,4.039238009371729,Cold start + gate,Cold start,True,BC
13,9600,10400,800,-37.45432651184992,-29963.46120947993,-37.341702221362354,-29873.36177708988,0.1126242904875603,90.09943239004824,0,0.0,0,0.0,9,0.01125,791,7,7,0,0,0,2,-59.82640830729349,0.0817322448761267,0.6413327067688176,3.224782490268126,0.3266276607035428,0.9560377528340924,1.2223947815782457,3.224782490268126,Cold start + gate,Cold start,True,BC
14,10400,11200,800,-49.18443526299077,-39347.54821039261,-49.03433356968799,-39227.46685575039,0.1501016933027704,120.08135464221638,0,0.0,0,0.0,12,0.015,788,3,3,0,0,0,9,-95.02390686481384,0.0747547517799347,0.7731790043286295,3.4237142791554334,0.3697563006779098,1.1766017079793492,1.36755670280465,3.4237142791554334,Cold start + gate,Cold start,True,BC
15,11200,12000,800,-16.766705059357967,-13413.364047486371,-16.716668624475986,-13373.33489958079,0.0500364348819807,40.02914790558456,0,0.0,0,0.0,4,0.005,796,4,4,0,0,0,0,-16.755422680968366,0.0658982475882847,0.4429872103767574,3.3185172328666117,0.2178605663687949,0.6681138543847199,1.1931905633869984,3.3185172328666117,Cold start + gate,Cold start,True,BC
16,12000,12800,800,-18.62596845828453,-14900.774766627626,-18.575838089348967,-14860.670471479174,0.0501303689355621,40.10429514844971,0,0.0,0,0.0,4,0.005,796,3,3,0,0,0,1,-19.232523550075456,0.141477631628514,0.4657723745949301,3.2150676322569893,0.2288859142958597,0.7026588348940006,1.0898419954984484,3.2150676322569893,Cold start + gate,Cold start,True,BC
17,12800,13600,800,-25.36932443975708,-20295.459551805663,-25.081453211996926,-20065.16256959754,0.2878712277601549,230.2969822081239,0,0.0,0,0.0,23,0.02875,777,7,7,0,0,0,16,-143.82547560835997,0.0983495074620757,0.5240488947760574,3.3146884404252432,0.2685653533524557,0.7795324361996592,1.1318435756323972,3.3146884404252432,Cold start + gate,Cold start,True,BC
18,13600,14400,800,-29.606226056751428,-23684.980845401144,-29.36833528880793,-23494.668231046348,0.2378907679434934,190.31261435479476,0,0.0,0,0.0,19,0.02375,781,8,8,0,0,0,11,-72.3138103144862,0.1088916587829587,0.6052925844236569,3.315630268536097,0.2786819635590886,0.9319032052882252,1.0955938574092916,3.315630268536097,Cold start + gate,Cold start,True,BC
19,14400,15200,800,-24.631603026257384,-19705.282421005908,-24.48143568712796,-19585.148549702364,0.1501673391294251,120.13387130354012,0,0.0,0,0.0,12,0.015,788,6,6,0,0,0,6,-38.50407961513071,0.0992699131682801,0.475409761236386,3.0558551934549314,0.2792019231781615,0.6716175992946106,1.2804392929059143,3.0558551934549314,Cold start + gate,Cold start,True,BC
20,15200,16000,800,-14.071927242356706,-11257.541793885364,-13.959354575065383,-11167.483660052309,0.1125726672913182,90.05813383305457,0,0.0,0,0.0,9,0.01125,791,8,8,0,0,0,1,-87.44064309177509,0.0708924172929172,0.4125987614191402,5.268553574429632,0.1961958210480917,0.6290017017901888,1.1199826567206173,5.268553574429632,Cold start + gate,Cold start,True,BC
21,16000,16800,800,-11.967217735167925,-9573.77418813434,-11.61383489655691,-9291.067917245527,0.3533828386110164,282.70627088881315,0,0.0,0,0.0,27,0.03375,773,27,27,0,0,0,0,-23.486683035424903,0.9513213982611042,0.3444139339781276,2.954690738414513,0.1876828168425341,0.5011450511137211,1.138448008513909,2.954690738414513,Cold start + gate,Cold start,True,handoff
